"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Price"
"AVR-ISP1","1","Conn_02x03_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~",""
"C1,C4,C5,C8","4","10uF/25V","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~",""
"C2,C3,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16,C17,C20,C24,C25,C29,C30,C31,C33,C34,C37,C38,C42,CA1,CA2,CA3,CA4,CA5","29","100nF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~",""
"C18,C23,C36","3","10uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~",""
"C19,C26,C27,C28","4","12pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~",""
"C21,C22","2","22pF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~",""
"C32","1","220uF","","Excluded from BOM","Excluded from board","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~",""
"C35,C40","2","22uF","","","","RMC_Capacitor:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_L","~",""
"C39","1","47uF","","","","RMC_Capacitor:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","0.375"
"C41","1","220uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","3.3"
"D1,D2","2","BZT52B5V1","","","","Diode_SMD:D_SOD-123F","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4.pdf",""
"D3,D4,D6,D8,D10","5","LED","","","","RMC_LED:LED_0805_2012Metric_Pad1.45x1.40mm_HandSolder","~",""
"D12","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf",""
"D19,D21,D23,D25","4","ESDUM5060","","","","to be sorted:D_SOD-523","https://www.onsemi.com/pdf/datasheet/esd5z2.5t1-d.pdf",""
"F1,F2","2","Fuse","","","","fuse:LittleFuse_462","~",""
"F7","1","Fuse","","","","to be sorted:Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~",""
"J1,J2,J3,J4","4","Conn_01x02_Pin","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","~",""
"J8","1","AIR","","","","Connector_Molex:Molex_Micro-Fit_3.0_43045-0600_2x03_P3.00mm_Horizontal","~",".372"
"J9","1","Conn_02x12_Top_Bottom","","","","Connector_Molex:Molex_Micro-Fit_3.0_43045-2400_2x12_P3.00mm_Horizontal","~","1.56"
"K2","1","HF49FD-012-1H11T","","","","to be sorted:HF49FD-012-1H11T","~","3.5"
"L1","1","10uH","","","","Inductor_SMD:L_6.3x6.3_H3","~",".35"
"Q1,Q3,Q5,Q7","4","MMBT3906","","","","RMC_SOT:SOT-23","https://www.tme.eu/Document/1d69ece8147fa5a64114d103f531c790/2N3906BU.pdf",""
"Q9","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf",""
"Q10,Q11,Q12,Q13","4","AO3400A","","","","RMC_SOT:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf",""
"R1,R19,R23,R24,R25,R31,R33,R34,R36,R38,R39,R41,R43,R44,R46,R57,R58,R59,R60,R61,R62,R63,R64","23","1k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R2,R3,R7,R18,R20,R21,R26,R29,R48,R50,R53,R54,R55,R56","14","10k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R16","12","210k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R17,R28,R49","3","10M","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R22,R65,R66,R67,R68,R69,R70","7","4.7k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R27,R51","2","120","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R30,R32,R35,R37,R40,R45,R72,R74","8","100k","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R52","1","1M","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R71","1","100R","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R73","1","49R9","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"R75","1","13k3","","","","RMC_Resistor:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_L","~",""
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~",""
"U1,U5","2","~","","","","LOC110:LOC110P","",""
"U2,U4","2","~","","","","B0505:B0505MT-1WR4","",""
"U3,U6,U7,U9,U18","5","LM358","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf",""
"U8","1","ATmega328-A","","","","RMC_QFP:TQFP-32_7x7mm_P0.8mm_L","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf",""
"U10,U13","2","TJA1050T_CM_118","","","","RMC_SO:SOIC-8_3.9x4.9mm_P1.27mm_RMC_Handsolder","","None"
"U11,U12","2","MCP2515-xST","","","","RMC_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf",""
"U14","1","40106","","","","RMC_SO:SOIC127P600X175-14N","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf",""
"U15","1","LTV-847S","","","","RMC_SO:SOIC-16_3.9x9.9mm_P1.27mm_Handsolder","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF",""
"U16","1","4001","","","","RMC_SO:SOIC127P600X175-14N","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf",""
"U17","1","TPS54302","","","","RMC_SOT:SOT-23-6_Handsoldering_Extended_RMC","http://www.ti.com/lit/ds/symlink/tps54302.pdf",".93"
"Y1","1","16MHz","","","","RMC_Crystal:Crystal_HC49-U_Vertical_W_SMD","~",""
"Y2,Y3","2","20MHz","","","","RMC_Crystal:Crystal_HC49-U_Vertical_W_SMD","~",""
